revenu,anciennete_mois,freq_usage,support_tickets,canal_acq,segment,region,churn
654.8490743557976,71,11.12341739490209,4,Web,B2C,Est,0
412.80286087671084,2,10.184813103259815,1,Web,B2C,Ouest,0
735.0812152451623,17,12.785647563291077,0,Web,B2C,Ouest,0
769.3016489504184,19,13.740435044091136,1,Magasin,B2C,Nord,0
248.81366604230942,19,13.64491202076259,0,Magasin,B2C,Nord,0
365.6076887647828,33,9.596888336216052,1,Magasin,B2C,Nord,1
623.0112725701114,62,15.547970919635352,0,Magasin,B2C,Ouest,0
543.0763333781553,3,10.913842726929285,3,Magasin,B2C,Nord,1
596.975791649228,58,12.529504770263195,2,Web,B2B,Sud,0
446.4520930367556,44,11.12835156333952,0,Magasin,B2B,Est,0
758.2916354753091,44,10.988026829936697,0,Magasin,B2C,Est,0
740.0025483772107,49,7.056992038998722,1,Magasin,B2C,Est,0
611.8855255610189,9,12.805403353379305,2,Magasin,B2C,Ouest,0
802.9034172542459,54,21.381177579630556,1,Partenaire,B2C,Est,0
684.1516816053683,18,8.500819700839667,0,Web,B2C,Ouest,0
445.32735668101714,37,10.283978861699792,3,Magasin,B2C,Nord,0
666.3751411348499,49,8.215178942610951,0,Web,B2C,Ouest,0
427.4011318507802,43,8.047920393752262,1,Web,B2C,Est,0
758.1210542353091,23,16.17779791247469,2,Web,B2C,Nord,0
591.0133360224745,29,7.308115929090141,2,Web,B2C,Ouest,0
566.7247745618531,34,8.103678106534556,0,Web,B2C,Ouest,0
477.43268200729057,3,3.650028705074795,0,Magasin,B2C,Ouest,0
820.0574409613255,52,6.969553101831011,0,Web,B2C,Ouest,0
572.1846932276156,8,3.166400428186609,1,Web,B2C,Sud,0
522.9009920106407,33,12.527218796847716,0,Web,B2C,Nord,1
536.6159609121187,47,21.198788887349238,1,Web,B2C,Nord,1
695.8156533996028,6,8.533284825397912,0,Magasin,B2C,Ouest,0
665.7799315855341,71,3.3329682680390507,2,Web,B2B,Ouest,0
674.2918700872779,27,13.599998657718933,1,Web,B2C,Ouest,0
677.5477805414189,2,7.092300164279372,2,Partenaire,B2C,Ouest,0
985.496568156683,47,15.197387722214161,3,Magasin,B2C,Est,0
526.8452970507692,40,8.871883808840222,0,Magasin,B2C,Nord,0
507.79630876712326,46,7.4727372436688775,2,Magasin,B2C,Nord,0
453.52090891538205,54,9.288169777017254,1,Web,B2C,Sud,1
710.8762960635893,34,13.031107043744749,0,Magasin,B2C,Ouest,0
803.2150126897604,59,9.090317476977374,1,Web,B2C,Nord,0
579.4894576221225,27,8.013101188825178,2,Web,B2C,Ouest,0
448.77183414674494,39,9.204673588084512,2,Web,B2C,Est,1
451.5933811755769,12,4.91257926199646,0,Magasin,B2C,Sud,0
717.1067018084461,45,11.58812640917592,2,Web,B2C,Ouest,0
733.7857508166196,19,2.8530936246203593,2,Web,B2C,Est,0
697.7677682949351,50,8.223514182537938,3,Web,B2C,Est,1
480.20825268803503,57,13.037540835322973,3,Magasin,B2C,Sud,0
641.7890381520095,61,11.212193131730867,0,Web,B2C,Sud,1
621.0034456453311,66,12.36128229194556,2,Web,B2C,Nord,0
639.3639474112223,9,9.739817309124764,1,Web,B2B,Est,0
756.8571800306742,10,14.678984723942067,2,Magasin,B2C,Ouest,0
640.2471987794428,66,13.698796787079168,2,Web,B2C,Ouest,0
722.2044413529411,28,11.784564016990698,1,Partenaire,B2C,Ouest,0
612.1642325080005,2,13.710183109254173,1,Web,B2C,Nord,0
652.0414917641972,21,13.001694217614308,2,Web,B2C,Ouest,0
713.6318806509373,60,8.242145946612439,1,Web,B2C,Nord,0
337.71195242598003,26,4.624404353234666,1,Web,B2C,Nord,0
542.4591810556858,6,11.681448503370495,1,Web,B2B,Est,0
515.3329222272968,52,12.184356923325716,1,Web,B2C,Ouest,0
485.00198731619844,14,14.361887964554262,3,Magasin,B2C,Ouest,0
550.4743947791969,26,6.254714899818826,1,Web,B2C,Ouest,0
869.0894360221912,1,6.374275762891347,2,Web,B2C,Nord,0
444.1503991752162,43,11.839601065231081,0,Web,B2B,Nord,1
774.2901038264665,32,9.715332044587653,0,Web,B2C,Nord,0
297.08344110915516,62,2.4569535577154875,1,Web,B2C,Est,0
539.7206946025606,24,11.500432655016763,2,Web,B2C,Sud,1
629.295551718901,15,2.5903083400441815,0,Web,B2C,Nord,0
705.5200196446701,12,6.218973792506495,1,Web,B2B,Sud,0
728.0207843627139,15,15.40672549144043,1,Partenaire,B2C,Est,0
742.8025023359866,33,17.29951607122846,0,Magasin,B2C,Est,0
537.2294869952813,7,5.137374526112153,2,Partenaire,B2C,Sud,0
516.7766773203779,29,8.682433850349224,0,Web,B2C,Sud,0
754.4356586262877,61,10.170490092314823,1,Magasin,B2B,Est,0
565.5652215213094,55,17.124907710326273,0,Web,B2B,Est,0
370.3764617991741,46,8.028524208702393,2,Web,B2C,Sud,1
396.0083014793735,64,8.092463907866888,1,Magasin,B2C,Nord,0
434.49858851971,56,16.194902233851447,0,Web,B2B,Ouest,0
689.4889339296775,47,8.500843389126969,1,Web,B2C,Ouest,0
625.6366324927018,62,12.88880683586583,2,Magasin,B2C,Nord,0
724.2873637321983,9,4.09142813955029,2,Magasin,B2B,Est,0
523.0945236594239,59,9.315069023630695,1,Web,B2C,Est,1
628.5371443938086,21,3.3616126466943816,2,Web,B2B,Nord,0
712.6062709141206,53,5.778264876177182,1,Web,B2C,Nord,0
544.3176228503571,65,13.356805420609053,1,Partenaire,B2B,Ouest,1
682.2195427603341,36,9.80037843565315,0,Web,B2C,Est,1
480.8533306080028,7,8.723577037788102,2,Web,B2C,Nord,0
534.6503076182871,27,7.005001504076329,1,Web,B2C,Ouest,0
